EQUIPMENT,DESCRIPTION,MODEL,CAPACITY,FLYWHEEL HORSEPOWER,Fixed Price,Base Price
Grouting Machine,Grouting Machine,"GARNER DENVER 6X3X6, AIR DRIVEN","GARNER DENVER 6X3X6, Air Driven",0, ?909.63 ,909.63
Dump Truck,DUMP TRUCK,ALL MODELS,12 cu. yd.,290," ?1,491.00 ","1,252.00"
Cargo/Service Truck,Cargo/Service Truck,ALL MODELS,2-5 mt,160, ?822.00 ,628
Boom Truck,Boom Truck,NXG1160D3ZAL1X,0,197," ?2,027.00 ","1,762.00"
Cargo/Service Truck,CARGO TRUCK,ALL MODELS,9-10 mt,270," ?1,373.00 ",972
Water Truck/Pump,WATER TRUCK,ALL MAKES,16000 L,360," ?2,572.00 ","2,161.00"
Air Compressor,Air Compressor,ALL MODELS,15-35 cfm,20, ?215.00 ,172
Air Compressor,Air Compressor,ALL MODELS,126-160 cfm,51, ?473.00 ,379
Air Compressor,Air Compressor,ALL MODELS,161-185 cfm,69, ?527.00 ,422
Air Compressor,Air Compressor,ALL MODELS,356-450 cfm,130," ?1,013.00 ",810
Diamond Drill (CP-8),Diamond Drill (CP-8),CP-8,0,0, ?211.25 ,211.25
Diamond Drill (CP-55A),Diamond Drill (CP-55A),CP-55A,0,0, ?242.50 ,242.5
Jackhammer,Jackhammer,,0,0, ?167.30 ,167.3
Pneumatic Drilling Machine,Pneumatic Drilling Machine,,0,0, ?170.00 ,170
"Water Pump, 100 mm suction ?","Water Pump, 100 mm suction ?",1800,0,7.5, ?129.50 ,129.5
"Water Pump, 100 mm suction ?","Water Pump, 100 mm suction ?",2667,50,16, ?266.25 ,266.25
Generator Set,Generator Set,ALL MAKES,5kW/6kVA,0, ?181.16 ,181.16
Generator Set,Generator Set,ALL MAKES,40kW/50kVA,0, ?306.87 ,306.87
Generator Set,Generator Set,ALL MAKES,300kW/375kVA,0," ?1,173.14 ",733.22
Generator Set,Generator Set,ALL MAKES,700kW/875kVA,0," ?2,885.94 ","1,803.71"
