materialCode,description,unit,unitCost
MS07.0024,"ROAD SIGN, TRIANGLE (900 mm, 3 mm thk aluminum sheet)",PC,4700
MS07.0025,"CHEVRON SIGN (400 mm x 600 mm, 3 mm thk aluminum sheet)",PC,4650
MS07.0026,"CHEVRON SIGN (600 mm x 800 mm, 3 mm thk aluminum sheet)",PC,8600
MS07.0027,"REFLECTORIZED TRAFFIC PAINT, WHITE",LTR,474.64
MS07.0028,"REFLECTORIZED TRAFFIC PAINT, YELLOW",LTR,501.01
MS07.0029,"THERMOPLASTIC PAINT, WHITE (25 kg)",BAG,1900
MS07.0030,"THERMOPLASTIC PAINT, YELLOW (25 kg)",BAG,2075
MS07.0031,GLASS BEADS (25 kg),BAG,1160
MS07.0032,PRIMER,LTR,240
MS08.0001,"CORRUGATED ROOFING SHEET, GA 26",SQM,447
MS08.0002,"RIB-TYPE ROOFING SHEET, GA 26",SQM,612
MS08.0003,"FLASHING, GA 26 (0.61 m x 2.44 m)",PC,205.5
MS08.0004,"GUTTER, GA 24 (0.61 m x 2.44 m)",PC,191.5
MS08.0005,"RIDGE ROLL, GA 26 (0.61 m x 2.44 m)",PC,207.52
MS08.0006,"GI SHEET, PLAIN, GA 16 (1.22 m x 2.44 m)",PC,1503.28
MS08.0007,"GI SHEET, PLAIN, GA 20 (1.22 m x 2.44 m)",PC,1056.54
MS08.0008,"GI SHEET, PLAIN, GA 26 (1.22 m x 2.44 m)",PC,610.39
